disposition,session,bytes,records,sealed_segments,unsealed_tmp,has_manifest,start_utc,stop_utc,streams,instrument,abnormal_termination,segment_sha256_prefixes
DELETED,bf63639411144f478da03a40b56c34af,61088524,38878,21,0,True,2026-07-23T05:42:27.0934043Z,2026-07-23T07:29:11.8822903Z,Trade,GCQ6@COMEX,False,831F198684EA12AD;1BA1E40225508589;18285521BA14F80A;FBB3BE425F817ECB;789214453D1372C4;9D13D7AB365A9D46;8B06A9B219775308;FA65E249A07F1851;577270A6C68EFA28;93E82560B4721F42;A02088FEBB9E5F3F;54077C39E71DA9EB;5E72E1B2CA8AC046;9611B8EFE93186AB;034545F8BFF1B798;89BD733088D4A78B;E0F12662734EBE2A;2FD05201DF374197;2492E88B6ECD3ECA;E5BA33CB9593BCDF;CE489C017004EDBC
DELETED,c237940af5954981898f70cdd384d476,29433856,0,0,1,False,,,,,,
DELETED,cd8c149dfecf47cc85947b5dc857785f,286603080,173885,4,1,True,2026-07-27T13:31:06.4985345Z,,"Trade,Dom",GCQ6@COMEX,False,50AFB7A2C41F81C1;87F5D0F268C41F65;08BD4F69D807B946;FECCB9E772DA18C1
DELETED,d17d613d2a434006bd0cc871a53af3d3,284122495,173917,4,1,True,2026-07-27T15:04:51.4178218Z,,"Trade,Dom",GCQ6@COMEX,False,049BCC03DDA1E9BD;C7E4494007F55CAF;F070AF81F60745B8;760AE6F660A3CA64
DELETED,d3d89f53a11e4546a7f2bc6f4beaf6ce,884736,0,0,1,False,,,,,,
DELETED,d9635f6d1b6a4fc4a8c2ce3c2632ccc9,248647933,127908,3,1,True,2026-07-27T19:38:11.8835518Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,8E685E3C9D0436CB;AFA53EACCEAC1A12;877CE81CAFD03F8A
DELETED,e1d23eda9fbd4564908e6cb410e8df69,3581885,2072,3,1,True,2026-07-23T04:47:43.8933065Z,,Trade,GCQ6@COMEX,False,3FBEA265FF55715F;984FBFF338F923C5;310FECB1D9FD0250
DELETED,e4146f74e8214803a0dc8cc3085b1b64,327353929,169609,4,1,True,2026-07-27T18:47:48.7861816Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,B09C41F71B97FB77;6E0AA343918306F9;10C7116CB29B9309;28893E3516DCE339
DELETED,e6dd3da4ac824c49baaa54d65f32311c,345393812,218863,5,1,True,2026-07-27T16:08:11.8629693Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,5DF735C7DD21C9A6;E32F716F5C68465C;EB01F8E55CE784C5;69052158CD8866B9;EB1CDFCB28C90C6C
DELETED,ea8f3e5ea39b4de2bf5d14bcb7052660,315406354,169577,4,1,True,2026-07-27T18:27:44.972419Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,7B7046B65ADCCE07;48DB962AB094B944;372AC725E748D327;19F7F13F09C5F9E1
DELETED,eca2de33b1d34e52b9cdc38282f9bccd,317724882,171876,4,1,True,2026-07-27T15:37:35.3874947Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,30B7525FB5D7BFB3;F7F4F8DD9C297368;E3AC7A31FB52864A;A8833B1BAEAB2A3A
DELETED,ed0cf85ceb794762b104e7acbfb911b7,477558258,302634,7,1,True,2026-07-27T16:55:52.1244659Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,2754991E5D0392E2;EE6C528608CC8190;68C1E8F12E3B8198;5BA63364DD4116CD;8870E85A5479F8B2;F90F33C2CA86F680;F5E0360F970494EC
DELETED,f16ab70ab3ae458ea5b03e4155ebedf7,135325546,88105,3,0,True,2026-07-28T09:08:24.3966854Z,2026-07-28T09:09:29.9025857Z,"Trade,Dom,Mbo",GCQ6@COMEX,False,8BA89E28F9BF0A7F;F817D2821AAD2953;7290A6ABCA52F520
DELETED,f1826353ea004843a52440520852cab5,669872986,448906,10,1,True,2026-07-27T16:14:44.506458Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,D5A2C633B46E360F;294F3C93B4EEBA8C;98722BE1416B2B6D;6F4344839A8854E1;4462C081A5560EB8;16940C2A323383B4;FF6E0F2A67AC2853;0A55A309BAC0D23E;C67E393D1BDEF4D5;D0B466A610A31DDE
